o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
25,Gate13,26,Gate14,1.2225283000013671,0.0,"LINESTRING (-109.563325 37.2746,-109.575995 37.2746)"
26,Gate14,5,B1,1.0752365455966904,0.0,"LINESTRING (-109.575995 37.2746,-109.5697333 37.2838178)"
26,Gate14,6,B2,1.84621189189175,0.0,"LINESTRING (-109.575995 37.2746,-109.560079 37.2852198)"
26,Gate14,7,B3,2.484049026604259,0.0,"LINESTRING (-109.575995 37.2746,-109.5523617 37.2848091)"
26,Gate14,8,B4,3.5221694472229865,0.0,"LINESTRING (-109.575995 37.2746,-109.5412776 37.2858769)"
26,Gate14,9,C1,0.7183441282812011,0.0,"LINESTRING (-109.575995 37.2746,-109.5724947 37.2811705)"
26,Gate14,10,C2,1.2799782235948896,0.0,"LINESTRING (-109.575995 37.2746,-109.5646803 37.2815244)"
26,Gate14,11,C3,2.293801853315258,0.0,"LINESTRING (-109.575995 37.2746,-109.553796 37.2831048)"
26,Gate14,12,C4,3.5255979465162226,0.0,"LINESTRING (-109.575995 37.2746,-109.5405438 37.2834472)"
26,Gate14,13,Gate1,1.3499603530099786,0.0,"LINESTRING (-109.575995 37.2746,-109.5886621 37.28054)"
26,Gate14,14,Gate2,1.6756783061014913,0.0,"LINESTRING (-109.575995 37.2746,-109.5886621 37.28648)"
26,Gate14,15,Gate3,2.109598501359726,0.0,"LINESTRING (-109.575995 37.2746,-109.5886621 37.29242)"
26,Gate14,16,Gate4,2.2930269730732116,0.0,"LINESTRING (-109.575995 37.2746,-109.5759921 37.2983644)"
26,Gate14,17,Gate5,2.5986981975073618,0.0,"LINESTRING (-109.575995 37.2746,-109.5633221 37.2983644)"
26,Gate14,18,Gate6,3.352259362401689,0.0,"LINESTRING (-109.575995 37.2746,-109.5506521 37.2983644)"
26,Gate14,19,Gate7,4.325644949889753,0.0,"LINESTRING (-109.575995 37.2746,-109.5379821 37.2983644)"
26,Gate14,20,Gate8,5.18374206425783,0.0,"LINESTRING (-109.575995 37.2746,-109.525315 37.2924244)"
26,Gate14,21,Gate9,5.022766873775808,0.0,"LINESTRING (-109.575995 37.2746,-109.525315 37.2864844)"
26,Gate14,22,Gate10,4.923636417162379,0.0,"LINESTRING (-109.575995 37.2746,-109.525315 37.2805444)"
26,Gate14,23,Gate11,3.667584900001359,0.0,"LINESTRING (-109.575995 37.2746,-109.537985 37.2746)"
26,Gate14,24,Gate12,2.445056599999992,0.0,"LINESTRING (-109.575995 37.2746,-109.550655 37.2746)"
26,Gate14,25,Gate13,1.2225283000013671,0.0,"LINESTRING (-109.575995 37.2746,-109.563325 37.2746)"
26,Gate14,26,Gate14,0.0,0.0,"LINESTRING (-109.575995 37.2746,-109.575995 37.2746)"
